Name,OVR,Position,Alternative positions,Height,Weight,Nation,League,Team
Jayesh Rane,59,CDM,"CM, LW",175,68,India,ISL,Mumbai City FC
Sumit Rathi,59,CB,"LB, LM",176,70,India,ISL,Mohun Bagan SG
Magnus Rugland Ree,59,GK,,183,74,Norway,Eliteserien,Viking FK
Justin Reynolds,59,RB,,175,75,United States,MLS,Chicago Fire FC
Ludvig Richtnér,59,RB,,185,76,Sweden,Allsvenskan,IF Elfsborg
Brian Romero,59,RM,RW,170,63,United States,MLS,Charlotte FC
Raul Rotund,59,CM,,175,71,Romania,SUPERLIGA,FC Dinamo 1948
Alan Rybak,59,ST,,175,68,Poland,PKO BP Ekstraklasa,Jagiellonia
Lucas Salinas,59,GK,,180,75,Bolivia,Sudamericana,Wilstermann
Ture Sandberg,59,CM,,180,74,Sweden,Allsvenskan,IFK Norrköping
Hayden Sargis,59,CB,,183,77,United States,MLS,D.C. United
Matthew Scarcella,59,CM,,177,73,Australia,A-League,Newcastle Jets
Parag Shrivas,59,CB,"RB, LB",180,73,India,ISL,Bengaluru FC
Jiteshwor Singh,59,CDM,CM,174,68,India,ISL,Chennaiyin FC
Samuel Skree Skjeldal,59,LB,,183,79,Norway,Eliteserien,Odds BK
Sanjeev Stalin,59,LB,RB,166,60,India,ISL,Mumbai City FC
Luke Supyk,59,ST,,181,75,New Zealand,A-League,Well. Phoenix
Sachin Suresh,59,GK,,184,75,India,ISL,Kerala Blasters
Luis Toomey,59,CAM,"LW, CM",179,75,New Zealand,A-League,Auckland FC
Jonas Torsvik,59,LB,CB,179,67,Norway,Eliteserien,SK Brann
Holden Trent,59,GK,,188,78,United States,MLS,Philadelphia
David Tufekcic,59,RW,"CM, RM",176,70,Norway,Eliteserien,Kristiansund BK
Melker Uppenberg,59,GK,,194,80,Sweden,Allsvenskan,IF Elfsborg
Xavier Valdez,59,GK,,198,72,Dominican Republic,MLS,Houston Dynamo
Felipe Valencia,59,RM,RW,175,63,United States,MLS,Inter Miami CF
Isak Vanlalruatfela,59,LW,LM,172,66,India,ISL,Odisha FC
Justin Vidic,59,ST,,187,72,Australia,A-League,Newcastle Jets
Jamie Walker,59,LB,,187,80,Scotland,SSE Airtricity PD,Dundalk
James Wilson,59,ST,,170,70,Scotland,Scottish Prem,Hearts
Emirhan Yiğit,59,RW,RM,173,60,Turkey,Trendyol Süper Lig,Kasımpaşa
Isak Hagen Aalberg,58,CB,,191,81,Norway,Eliteserien,Kristiansund BK
Johan Persson Åhstedt,58,LB,CB,180,72,Sweden,Allsvenskan,Mjällby AIF
Matai Akinmboni,58,CB,,190,77,United States,MLS,D.C. United
Adnan Aktaş,58,LB,,174,68,Turkey,Trendyol Süper Lig,Kasımpaşa
Furkan Onur Akyüz,58,GK,,191,80,Turkey,Trendyol Süper Lig,Fenerbahçe
Leander Næss Alvheim,58,ST,,193,76,Norway,Eliteserien,Kristiansund BK
Sebastian Anderson,58,RB,,175,64,United States,MLS,Colorado Rapids
Arhan,58,LB,,172,64,Indonesia,K League 1,Suwon FC
Leon Augustine,58,RM,"LM, CM, RW",166,61,India,ISL,Punjab FC
Luca Nicolae Banu,58,CDM,,178,71,Romania,SUPERLIGA,Farul Constanța
Mohamed Bawa,58,RW,RM,177,74,Sweden,Allsvenskan,GAIS
Adam Beaudry,58,GK,,188,70,United States,MLS,Colorado Rapids
Stephen Bolma,58,CM,,178,68,Ghana,Allsvenskan,IFK Norrköping
Matt Boylan,58,GK,,185,76,Republic of Ireland,SSE Airtricity PD,St. Pats
Isak Brusberg,58,CM,,188,78,Sweden,Allsvenskan,BK Häcken
Noel Caliskan,58,CM,,180,68,Germany,MLS,Real Salt Lake
Antonio Carrera,58,GK,,190,68,United States,MLS,FC Dallas
Victor Cespedes,58,LM,LW,176,73,Paraguay,Sudamericana,Guaraní
Choi Kang Min,58,RB,RM,176,70,Korea Republic,K League 1,Ulsan Hyundai
Rakshit Dagar,58,GK,,185,80,India,ISL,Jamshedpur FC
John Paul Dembe,58,ST,,191,82,Uganda,Allsvenskan,BK Häcken
Herbert Endeley,58,RM,"ST, RW",178,69,United States,MLS,FC Dallas
Connor Evans,58,ST,,180,73,Wales,SSE Airtricity PD,Waterford
David Ezeh,58,ST,,187,82,Finland,PKO BP Ekstraklasa,Raków
Baran Ali Gezek,58,CAM,CM,170,65,Turkey,Trendyol Süper Lig,Kayserispor
Alf Lukas Noel Grønneberg,58,GK,,184,71,Norway,Eliteserien,Sandefjord
Daníel Tristan Guðjohnsen,58,ST,,188,78,Iceland,Allsvenskan,Malmö FF
Bret Halsey,58,RB,CM,175,68,United States,MLS,FC Cincinnati
Han Ji Yul,58,GK,,193,88,Korea Republic,K League 1,Daegu FC
Han Sang Gyu,58,CB,,190,88,Korea Republic,K League 1,Suwon FC
Semboi Haokip,58,ST,,181,79,India,ISL,Jamshedpur FC
Elias Kringberg Haug,58,CB,,185,75,Norway,Eliteserien,Sarpsborg 08
Stuart Hawkins,58,CB,,189,72,United States,MLS,Sounders FC
Lalrinliana Hnamte,58,LM,"CM, LW",178,69,India,ISL,Chennaiyin FC
Hong Jae Seok,58,CDM,"CM, CB",188,90,Korea Republic,K League 1,Jeju United
Joshua Inserra,58,CB,,180,78,Australia,A-League,Melb. Victory
Mohammed Irshad,58,CDM,"CB, CM",176,79,India,ISL,Mohammedan SC
Rony Jansson,58,CB,CDM,183,72,Finland,Allsvenskan,Kalmar FF
Sigge Jansson,58,CDM,CM,184,70,Sweden,Allsvenskan,BK Häcken
Bartłomiej Jelonek,58,GK,,185,81,Poland,PKO BP Ekstraklasa,Piast Gliwice
Malachi Jones,58,LW,"ST, LM",178,68,Sierra Leone,MLS,New York City FC
Adam Kardaś,58,CDM,,180,72,Poland,PKO BP Ekstraklasa,Lechia Gdańsk
Alby Kelly-Heald,58,GK,,196,83,New Zealand,A-League,Well. Phoenix
Imran Khan,58,LM,"CAM, RM, LW",170,62,India,ISL,Jamshedpur FC
Kim Jeong Hyun,58,CAM,,176,70,Korea Republic,K League 1,Daegu FC
Kim Hyeon Woo,58,LW,LM,180,69,Korea Republic,K League 1,Jeju United
Kim Min Young,58,ST,,178,65,Korea Republic,K League 1,Daegu FC
Kim Young Jun,58,ST,,184,79,Korea Republic,K League 1,Daegu FC
Jakub Kolan,58,RB,,177,71,Poland,PKO BP Ekstraklasa,Zagłębie Lubin
Niilo Kujasalo,58,CM,,182,73,Finland,Finnliiga,HJK Helsinki
Patryk Kusztal,58,LM,LW,176,71,Poland,PKO BP Ekstraklasa,Zagłębie Lubin
Lee Gyeong Min,58,GK,,190,94,Korea Republic,K League 1,Suwon FC
Lee Jae Hun,58,GK,,190,78,Korea Republic,K League 1,Suwon FC
Lim Hyeong Jin,58,CB,,190,83,Korea Republic,K League 1,Incheon United
Piotr Liszewski,58,RB,RM,184,77,Poland,PKO BP Ekstraklasa,Piast Gliwice
Rafał Mamla,58,GK,,195,93,Poland,PKO BP Ekstraklasa,Korona Kielce
Saurav Mandal,58,RM,"LM, RW",175,68,India,ISL,Kerala Blasters
Ben McCrystal,58,LM,LW,180,65,Scotland,Scottish Prem,St. Johnstone
Denechandra Meitei,58,LB,"CB, RB",175,65,India,ISL,Punjab FC
Melroy Melwin Assisi,58,CB,"RB, CDM",185,85,India,ISL,Punjab FC
Hira Mondal,58,LB,"RB, CB",167,65,India,ISL,East Bengal
Jake Najdovski,58,ST,CAM,170,70,Australia,A-League,Western United
Muhammed Nemil,58,CAM,,168,65,India,ISL,FC Goa
James Nieuwenhuizen,58,GK,,186,78,Australia,A-League,Melbourne City
Cory O'Sullivan,58,LB,,173,70,Republic of Ireland,SSE Airtricity PD,Shamrock Rovers
Igor Orlikowski,58,CB,,180,80,Poland,PKO BP Ekstraklasa,Zagłębie Lubin
Park Ju Yeong,58,RW,RM,187,79,Korea Republic,K League 1,Jeju United
Park Jun Beom,58,ST,,183,75,Korea Republic,K League 1,Jeonbuk Hyundai
Storm Bugge Pettersen,58,ST,,182,74,Norway,Eliteserien,Sandefjord
Arran Pettifer,58,CM,,177,70,England,SSE Airtricity PD,St. Pats
Kayden Pierre,58,RB,,175,66,United States,MLS,Sporting KC
Diego Alonso Plaza,58,CM,,167,62,Chile,Sudamericana,Coquimbo Unido
Mobashir Rahman,58,CM,CDM,172,71,India,ISL,Jamshedpur FC
Mohamad Rakip,58,RB,LB,173,66,India,ISL,East Bengal
Chris Rindov,58,CB,,187,86,United States,MLS,Sporting KC
Alex Robinson,58,GK,,183,66,Australia,A-League,Macarthur FC
Lalchhanhima Sailo,58,CDM,CM,165,65,India,ISL,Hyderabad FC
Alex Saji,58,RB,CB,183,80,India,ISL,Hyderabad FC
Lara Sharma,58,GK,,195,80,India,ISL,FC Goa
Matt Sheridan,58,RB,CDM,181,74,New Zealand,A-League,Well. Phoenix
Shin Min Ha,58,CB,,186,77,Korea Republic,K League 1,Gangwon FC
Huidrom Singh,58,LB,"CB, RB",182,70,India,ISL,Kerala Blasters
Isak Sjong,58,GK,,185,75,Norway,Eliteserien,FK Bodø/Glimt
Gabriel Sloane-Rodrigues,58,RW,RM,176,71,New Zealand,A-League,Well. Phoenix
Song Chang Seok,58,CAM,ST,183,77,Korea Republic,K League 1,Daejeon
Patryk Szczuka,58,GK,,189,84,Poland,PKO BP Ekstraklasa,GKS Katowice
Sahil Tavora,58,CDM,"CM, LM",169,67,India,ISL,FC Goa
Jackson Travis,58,LB,,172,68,United States,MLS,Colorado Rapids
Piotr Urbanski,58,CAM,,190,87,Poland,PKO BP Ekstraklasa,Piast Gliwice
Muhammed Uvais Moyikkal,58,LB,CB,182,82,India,ISL,Jamshedpur FC
Håkon Volden,58,CB,,194,78,Norway,Eliteserien,Rosenborg BK
Elis Wahl,58,GK,,186,78,Sweden,Allsvenskan,Västerås SK
Thomas Williams,58,CB,LB,191,77,United States,MLS,Orlando City
Vishal Yadav,58,GK,,183,70,India,ISL,Jamshedpur FC
Filip Åkesson Linderoth,57,RB,,184,80,Sweden,Allsvenskan,Mjällby AIF
Wilmer Andersson,57,CM,,180,75,Sweden,Allsvenskan,Kalmar FF
Wahengbam Angousana,57,CM,,170,63,India,ISL,Mohammedan SC
Gbemi Arubi,57,ST,,183,69,Republic of Ireland,SSE Airtricity PD,Waterford
Alexis Barrionuevo,57,GK,,178,72,Bolivia,Sudamericana,Real Tomayapo
Rhys Bartley,57,CM,,183,80,Republic of Ireland,SSE Airtricity PD,St. Pats
Namgyal Bhutia,57,RB,RW,173,65,India,ISL,Bengaluru FC
Zac Bowling,57,GK,,180,75,Australia,A-League,Newcastle Jets
Killian Cailloce,57,ST,RM,186,72,Republic of Ireland,SSE Airtricity PD,Drogheda United
Raoul Cristea,57,ST,,178,75,Romania,SUPERLIGA,UTA Arad
Aaren D'Silva,57,ST,,185,80,India,ISL,Hyderabad FC
Cristóbal Dorador,57,GK,,186,78,Chile,Sudamericana,Coquimbo Unido
Emin Durakovic,57,LM,"CM, LW",175,68,Australia,A-League,Melbourne City
Eom Seung Min,57,RW,"ST, RM",181,70,Korea Republic,K League 1,Jeonbuk Hyundai
Hugo Fagerberg,57,GK,,186,76,Sweden,Allsvenskan,Mjällby AIF
Danish Farooq Bhat,57,CM,,185,75,India,ISL,Kerala Blasters
Alex Ferguson,57,CM,,175,70,Scotland,Scottish Prem,St. Johnstone
CJ Fodrey,57,ST,LW,188,73,United States,MLS,Austin FC
Isaiah Foster,57,LB,,180,78,United States,MLS,FC Cincinnati
Alexander Freeman,57,RB,,188,78,United States,MLS,Orlando City
Gang Min Seong,57,LW,"ST, LM",180,73,Korea Republic,K League 1,Suwon FC
Almar Gjerd Grindhaug,57,CM,,180,75,Norway,Eliteserien,FK Haugesund
Taiga Harper,57,GK,,184,76,Australia,A-League,WS Wanderers
Alejandro Hidalgo,57,GK,,179,74,Chile,Libertadores,Cobresal
Jeong Myeong Je,57,GK,,192,80,Korea Republic,K League 1,Gimcheon Sangmu
Jung Yoon Seo,57,CB,,193,83,Korea Republic,K League 1,Daegu FC
Kang Seong Hyeok,57,GK,,185,80,Korea Republic,K League 1,Pohang Steelers
Johan Kenneryd,57,CB,,195,82,Sweden,Allsvenskan,IFK Värnamo
Eoin Kenny,57,ST,CAM,178,70,Republic of Ireland,SSE Airtricity PD,Dundalk
Patrik Kis,57,GK,,187,80,Romania,SUPERLIGA,FC Univ. Cluj
Sota Kitahara,57,CM,CDM,175,66,United States,MLS,Sounders FC
Wiktor Koptas,57,GK,,188,75,Poland,PKO BP Ekstraklasa,Radomiak Radom
Kwon Chang Hoon,57,RW,RM,174,69,Korea Republic,K League 1,Jeonbuk Hyundai
Daniel Lalhlimpuia,57,ST,"LM, RM",177,70,India,ISL,Mumbai City FC
Freddy Lallawmawma,57,CDM,"CM, LM",171,67,India,ISL,Kerala Blasters
Lee Seung Joon,57,RM,"CAM, RW",174,65,Korea Republic,K League 1,FC Seoul
Mihăiță Lemnaru,57,CM,,178,75,Romania,SUPERLIGA,Unirea Slobozia
Gallagher Lennon,57,CM,,168,70,Northern Ireland,Scottish Prem,St. Mirren
Khaimin Lhungdim,57,RB,"RM, CM",173,69,India,ISL,Punjab FC
Samuel James Lyngdoh Kynshi,57,CM,"CDM, RM",176,70,India,ISL,Punjab FC
Benjamin Martino,57,GK,,198,88,United States,MLS,Nashville SC
Christian McFarlane,57,LB,,183,63,England,MLS,New York City FC
Sebastián Mella,57,GK,,185,85,Chile,Libertadores,Huachipato
Manoj Mohammad,57,LB,,180,76,India,ISL,Hyderabad FC
Wungngayam Muirang,57,CB,LB,184,76,India,ISL,Jamshedpur FC
Ankit Mukherjee,57,RB,RM,176,63,India,ISL,Chennaiyin FC
Ville Nilsson,57,ST,,182,76,Sweden,Allsvenskan,Kalmar FF
Lewis O'Donnell,57,CM,,178,70,Scotland,Scottish Prem,Dundee United
Park Chae Jun,57,RM,RW,175,66,Korea Republic,K League 1,Jeonbuk Hyundai
Nikhil Prabhu,57,CDM,"CB, CM",176,68,India,ISL,Punjab FC
Adam Queally,57,CB,,183,77,Republic of Ireland,SSE Airtricity PD,Waterford
Paul Ramfangzauva,57,CDM,,174,75,India,ISL,Odisha FC
Gottfrid Rapp,57,RW,"RB, RM",182,78,Sweden,Allsvenskan,IF Elfsborg
Lalliansanga Renthlei,57,CDM,CM,183,78,India,ISL,Odisha FC
Buanthanglun Samte,57,LB,,169,65,India,ISL,NorthEast United
Ryan Schewe,57,GK,,193,88,United States,MLS,Sporting KC
Tarik Scott,57,LM,"RM, LW",178,64,United States,MLS,FC Dallas
Gabriel Segal,57,ST,,178,73,United States,MLS,Houston Dynamo
Seo Ju Hwan,57,GK,,190,79,Korea Republic,K League 1,FC Seoul
Mario Sfaiț,57,RW,RM,177,75,Romania,SUPERLIGA,FC Univ. Cluj
Ricky John Shabong,57,CDM,"CM, RM",169,65,India,ISL,Punjab FC
Arsh Shaikh,57,GK,,186,74,India,ISL,Mohun Bagan SG
Sin Il Yeon,57,RB,RM,175,65,Korea Republic,K League 1,Suwon FC
Gursimrat Singh,57,CB,"CM, RB",171,70,India,ISL,East Bengal
Gurkirat Singh,57,ST,"LW, LM",175,70,India,ISL,Chennaiyin FC
Tondonba Singh,57,LB,,169,67,India,ISL,NorthEast United
Joey Skinner,57,LB,,183,63,United States,MLS,Nashville SC
Son Seung Beom,57,LM,LW,180,66,Korea Republic,K League 1,FC Seoul
Raul Stanciu,57,ST,,184,75,Romania,SUPERLIGA,UTA Arad
Arion Sulemani,57,ST,,175,75,Australia,A-League,Melbourne City
Sung Yoon Soo,57,GK,,187,88,Korea Republic,K League 1,Incheon United
Liam Svensson,57,CB,,180,75,Sweden,Allsvenskan,Mjällby AIF
Ioan Tolea,57,CM,,178,71,Romania,SUPERLIGA,FC Petrolul
Amidou Traore,57,CM,CDM,183,74,Côte d'Ivoire,Eliteserien,FK Haugesund
Gerardo Valenzuela,57,CAM,"ST, CM",183,75,United States,MLS,FC Cincinnati
Ewan Wilson,57,LB,,179,80,Scotland,Scottish Prem,Motherwell
London Aghedo,56,CB,,188,80,United States,MLS,FC Cincinnati
Forster Ajago,56,ST,,188,81,Ghana,MLS,Nashville SC
Godwill Ambrose,56,CB,RB,180,70,Norway,Eliteserien,Odds BK
Drew Baiera,56,RB,,175,63,United States,MLS,New York City FC
Conor Barr,56,CB,,189,87,Northern Ireland,SSE Airtricity PD,Derry City
Dipesh Chauhan,56,GK,,182,67,India,ISL,NorthEast United
Ayush Chhikara,56,ST,,172,70,India,ISL,Mumbai City FC
Cho Min Kyu,56,GK,,193,84,Korea Republic,K League 1,Gangwon FC
Choi Hyun Woung,56,CB,,188,76,Korea Republic,K League 1,Pohang Steelers
Choi Ye Hoon,56,LB,LW,180,73,Korea Republic,K League 1,Gimcheon Sangmu
Joe Collins,56,GK,,183,74,Republic of Ireland,SSE Airtricity PD,Bohemians
Leander D'Cunha,56,RB,CB,177,64,India,ISL,FC Goa
Danny Flores,56,CM,,173,68,United States,MLS,Sporting KC
Wayne Frederick,56,CAM,,183,66,Trinidad and Tobago,MLS,Colorado Rapids
Caden Glover,56,ST,,185,80,United States,MLS,St. Louis CITY SC
Vanlalpeka Guite,56,CM,,165,64,India,ISL,East Bengal
Ha Jeong Woo,56,ST,,191,87,Korea Republic,K League 1,Suwon FC
Evan Haddock,56,CB,,190,72,Republic of Ireland,SSE Airtricity PD,Drogheda United
Jeon Sung Jin,56,LB,LM,178,72,Korea Republic,K League 1,Jeju United
Jeong Seung Bae,56,RW,RM,172,70,Korea Republic,K League 1,Suwon FC
Jo Jun Hyeon,56,CAM,CM,184,79,Korea Republic,K League 1,Suwon FC
Wataru Kamijo,56,CDM,,178,65,Australia,A-League,Sydney FC
Kang Young Suk,56,CDM,,172,68,Korea Republic,K League 1,Jeonbuk Hyundai
Kim Hyeon Deok,56,CB,,190,78,Korea Republic,K League 1,FC Seoul
Kim Hyun Seo,56,CM,CAM,174,66,Korea Republic,K League 1,Incheon United
Niraj Kumar,56,GK,,182,72,India,ISL,Odisha FC
Anuj Kumar,56,GK,,187,70,India,ISL,Odisha FC
Prateek Kumar,56,GK,,188,80,India,ISL,Chennaiyin FC
Lee Hyun Yong,56,CB,,188,80,Korea Republic,K League 1,Suwon FC
Lee Won Woo,56,CB,,191,81,Korea Republic,K League 1,Daegu FC
Lee Han Bin,56,CB,,186,82,Korea Republic,K League 1,Daejeon
Lee Yun Geon,56,CDM,CM,178,72,Korea Republic,K League 1,Suwon FC
Lee Woo Yeon,56,CB,,188,83,Korea Republic,K League 1,Jeonbuk Hyundai
Toms Leitis,56,GK,,185,75,Latvia,SSE Airtricity PD,Shamrock Rovers
Oskar Leśniak,56,LM,"CM, LW",176,65,Poland,PKO BP Ekstraklasa,Piast Gliwice
Naorem Nongdamba,56,LM,"LW, CAM",171,68,India,ISL,Jamshedpur FC
Aidan O'Connor,56,CB,,190,90,United States,MLS,Red Bulls
Evan Ovendale,56,GK,,180,70,Wales,SSE Airtricity PD,Derry City
Park Sang Young,56,GK,,188,78,Korea Republic,K League 1,Daegu FC
Park Sang Hyeon,56,CB,,192,83,Korea Republic,K League 1,Gangwon FC
Park Jang Han Gyeol,56,CAM,CM,176,64,Korea Republic,K League 1,FC Seoul
Malik Pinto,56,CM,,180,77,United States,MLS,FC Cincinnati
Lalthuammawia Ralte,56,GK,,176,75,India,ISL,Bengaluru FC
Max Ross,56,CB,,178,60,Scotland,Scottish Prem,Motherwell
Sheikh Sahil,56,CDM,"CM, LM",176,70,India,ISL,Jamshedpur FC
Lalhrezuala Sailung,56,RB,CDM,176,67,India,ISL,Odisha FC
Mohammed Sanan,56,CAM,"LM, RM",169,62,India,ISL,Jamshedpur FC
Cenk Şen,56,LB,LM,170,70,Turkey,Trendyol Süper Lig,Bodrum FK
Dinesh Singh,56,CB,"RB, LB",180,76,India,ISL,NorthEast United
Phalguni Singh,56,CAM,RM,164,51,India,ISL,NorthEast United
Ranjeet Singh Pandre,56,ST,,178,74,India,ISL,Punjab FC
Kimani Stewart-Baynes,56,ST,,175,73,Canada,MLS,Colorado Rapids
Fabian Talladira,56,CM,"CDM, LB",176,70,Australia,A-League,Adelaide United
Paul Walters,56,GK,,190,86,United States,MLS,FC Cincinnati
Yoo Sun Woo,56,RW,RM,180,67,Korea Republic,K League 1,Daejeon
Yoon Tae Min,56,CB,,187,80,Korea Republic,K League 1,Daegu FC
Ahn Hyeok Ju,55,LM,"RM, LW",176,70,Korea Republic,K League 1,GwangJu FC
Max Anchor,55,GK,,191,74,Canada,MLS,Whitecaps FC
Mohammed Azhar,55,RB,,167,65,India,ISL,Kerala Blasters
Baek Seung Heon,55,RW,"CM, RM",172,67,Korea Republic,K League 1,Jeju United
Andreas Bakeng-Rogne,55,CM,RB,178,68,Norway,Eliteserien,Kristiansund BK
Nikhil Barla,55,RM,"ST, RB, RW",170,63,India,ISL,Jamshedpur FC
Bridel Bosakani,55,ST,,173,68,Republic of Ireland,SSE Airtricity PD,Drogheda United
Cho Jin Hyuk,55,RW,RM,180,76,Korea Republic,K League 1,Gangwon FC
Choi Seung Gu,55,RB,CDM,175,71,Korea Republic,K League 1,Incheon United
Devansh Dabas,55,GK,,182,80,India,ISL,Chennaiyin FC
Nitesh Darjee,55,LB,"CB, CDM",175,65,India,ISL,Punjab FC
Arvin Davoudi-Kia,55,LB,,178,78,Sweden,Allsvenskan,Kalmar FF
Lalremtluanga Fanai,55,CDM,,178,68,India,ISL,Bengaluru FC
Ștefan Georgescu,55,GK,,185,79,Romania,SUPERLIGA,Unirea Slobozia
Amrit Gope,55,GK,,194,80,India,ISL,Jamshedpur FC
Ha Dong Seon,55,ST,,181,75,Korea Republic,K League 1,Incheon United
Abhishek Halder,55,ST,CAM,177,63,India,ISL,Mohammedan SC
Hong Sung Moo,55,CM,,175,70,Korea Republic,K League 1,Gangwon FC
Ashish Jha,55,LW,"ST, LM",182,75,India,ISL,Bengaluru FC
Stiven Jimenez,55,RB,CDM,168,72,United States,MLS,FC Cincinnati
Lalbiakhlua Jongte,55,GK,,183,84,India,ISL,Hyderabad FC
Jung Jae Sang,55,ST,,187,84,Korea Republic,K League 1,Daegu FC
Jung Heon Taek,55,RB,,177,68,Korea Republic,K League 1,Daegu FC
Kang Do Uk,55,CAM,RW,176,67,Korea Republic,K League 1,Incheon United
Kim Dae Hyeon,55,CB,,187,86,Korea Republic,K League 1,Suwon FC
Kim Hae Seung,55,ST,,185,80,Korea Republic,K League 1,Gangwon FC
Jeorgio Kocevski,55,CM,,185,79,United States,MLS,Orlando City
Ravi Kumar,55,GK,,182,76,India,ISL,Punjab FC
Lee Gyu Baek,55,CB,,185,83,Korea Republic,K League 1,Pohang Steelers
Lee Yo Seb,55,CDM,CM,177,70,Korea Republic,K League 1,Suwon FC
Cristian Licsandru,55,CM,,178,73,Romania,SUPERLIGA,FC Dinamo 1948
Rory MacLeod,55,ST,,170,60,Scotland,Scottish Prem,Dundee United
Olwethu Makhanya,55,CB,,178,72,South Africa,MLS,Philadelphia
Callum McCay,55,CDM,,196,87,Northern Ireland,SSE Airtricity PD,Derry City
Jovan Mijatovic,55,ST,,179,73,Serbia,MLS,New York City FC
Roald Mitchell,55,ST,,185,68,United States,MLS,Red Bulls
Monirul Molla,55,ST,,165,63,India,ISL,Bengaluru FC
Sean Moore,55,CDM,,175,62,Republic of Ireland,SSE Airtricity PD,Bohemians
Halen Nongtdu,55,CB,"RB, LB",186,80,India,ISL,Mumbai City FC
Harry O'Connor,55,CAM,RM,180,70,Republic of Ireland,SSE Airtricity PD,Drogheda United
Sergio Oregel,55,CM,,175,64,United States,MLS,Chicago Fire FC
Jaziel Orozco,55,CB,,175,83,United States,MLS,Real Salt Lake
Park Jin Young,55,CB,CDM,186,84,Korea Republic,K League 1,Daegu FC
Park Si Hwa,55,LB,,175,67,Korea Republic,K League 1,Jeonbuk Hyundai
Jaylan Pearman,55,CAM,CM,175,70,Australia,A-League,Perth Glory
Ashis Pradhan,55,CM,"CDM, LM",175,70,India,ISL,Punjab FC
Rim Ji Min,55,RB,,173,70,Korea Republic,K League 1,Daegu FC
Kieran Sargeant,55,RB,,182,73,United States,MLS,Houston Dynamo
Jonathan Shore,55,CM,,173,62,United States,MLS,New York City FC
Abhishek Singh,55,RB,"LM, RM",168,65,India,ISL,Punjab FC
Maheson Singh,55,CM,"LM, RM",170,64,India,ISL,Punjab FC
Adem Sipić,55,ST,,185,82,United States,MLS,Nashville SC
Denis Ștefan,55,ST,CAM,183,72,Romania,SUPERLIGA,FC Botoșani
Nihal Sudeesh,55,ST,"RW, CB",172,70,India,ISL,Punjab FC
Hrithik Tiwari,55,GK,,190,78,India,ISL,FC Goa
Bijoy Varghese,55,CB,,181,79,India,ISL,Kerala Blasters
Kyle White,55,CM,CDM,183,78,England,SSE Airtricity PD,Waterford
Ahn Chang Min,54,ST,CB,189,81,Korea Republic,K League 1,Daegu FC
An Chi Woo,54,CM,CAM,183,72,Korea Republic,K League 1,Suwon FC
Nathan Asher Rodrigues,54,LB,LW,180,70,India,ISL,Mumbai City FC
Bae Soo Min,54,CM,,183,73,Korea Republic,K League 1,Daegu FC
Bae Hyun Seo,54,LB,"RB, CDM",172,66,Korea Republic,K League 1,FC Seoul
Javier Casas Jr.,54,CM,,173,64,United States,MLS,Chicago Fire FC
Luka Coveny,54,CB,,189,78,New Zealand,A-League,Western United
Nate Crockford,54,GK,,193,86,United States,MLS,D.C. United
Nikhil Deka,54,GK,,185,68,India,ISL,Mohammedan SC
Zavier Gozo,54,RW,"ST, RM",170,63,United States,MLS,Real Salt Lake
Heo Dong Min,54,CDM,CM,182,74,Korea Republic,K League 1,FC Seoul
Jeon Yong Jun,54,RW,RM,182,70,Korea Republic,K League 1,Daegu FC
Jo Hyun Tae,54,CB,,187,83,Korea Republic,K League 1,Gangwon FC
Kang Hyun Je,54,CM,,183,75,Korea Republic,K League 1,Pohang Steelers
Kim Min Sub,54,CM,,173,68,Korea Republic,K League 1,Daegu FC
Kim Jae Min,54,CM,RM,179,71,Korea Republic,K League 1,Jeju United
Kim Yu Seong,54,GK,,189,84,Korea Republic,K League 1,Gangwon FC
Lee Gyu Min,54,LW,LM,178,67,Korea Republic,K League 1,Pohang Steelers
Lee Dong Hyeop,54,LB,,173,68,Korea Republic,K League 1,Pohang Steelers
Ryan Maher,54,GK,,188,73,Republic of Ireland,SSE Airtricity PD,Drogheda United
Fardin Ali Molla,54,ST,,161,63,India,ISL,Mohun Bagan SG
Franklin Nazareth,54,CDM,"CM, CAM",176,70,India,ISL,Mumbai City FC
Macarton Louis Nickson,54,CM,CDM,174,58,India,ISL,NorthEast United
Luke O'Donnell,54,CM,,170,70,Republic of Ireland,SSE Airtricity PD,Derry City
Bekey Oram,54,CAM,RB,170,60,India,ISL,NorthEast United
Park Ju Seung,54,ST,CM,178,70,Korea Republic,K League 1,Jeju United
Park Se Min,54,RW,RM,176,71,Korea Republic,K League 1,Daegu FC
Park Jae Hyun,54,LM,"ST, LW",177,69,Korea Republic,K League 1,Daegu FC
Harsh Patre,54,CDM,CM,176,64,India,ISL,Bengaluru FC
Adam Pearlman,54,CB,,183,77,South Africa,MLS,Toronto FC
Tomas Pondeca,54,CAM,,175,77,United States,MLS,FC Dallas
Ahan Prakash,54,GK,,178,78,India,ISL,Mumbai City FC
Ravi Rana,54,CB,,165,65,India,ISL,Mohun Bagan SG
Thoi Singh,54,LW,"RW, LM",168,60,India,ISL,NorthEast United
Son Seung Min,54,CM,,175,68,Korea Republic,K League 1,Daegu FC
Abhishek Suryavanshi,54,CM,CDM,175,70,India,ISL,Mohun Bagan SG
Alejandro Urzua,54,CM,,175,66,United States,MLS,FC Dallas
